latitude,id,family,m,ratio,cost,error,numerator,denominator,color,selected
15,ecd7558669a1757f,SF,1,0.01,0.06377238243289854,0.1758477869182822,984952.4169030624,5601164.701383346,#F58518,false
15,6574c7bb9c60262a,SF,1,0.02,0.07241045588602302,0.1532450608397766,858350.8254370999,5601164.701383346,#F58518,false
15,a1a13488340e570a,SF,1,0.05,0.09998098498645615,0.12609808789834007,706296.1588481168,5601164.701383346,#F58518,false
15,a23e34b2f9a36a6e,SF,1,0.1,0.14735353446001684,0.11084754313143803,620875.3458228786,5601164.701383346,#F58518,false
15,a1c635bdc08218d7,SF,1,0.2,0.24218164780310017,0.0882505227120879,494305.712693576,5601164.701383346,#F58518,false
15,048c516146700bb1,SF,1,0.35,0.3841359123080051,0.06506581123082797,364444.32513298566,5601164.701383346,#F58518,false
15,4ba04a2546e1f79d,SF,1,0.5,0.5262857337933531,0.04900777120296224,274500.59815550334,5601164.701383346,#F58518,false
15,2ce57ccc3fc59a00,MF+SF,2,0.01,0.11578502785329306,0.13075894482452105,732402.3861412398,5601164.701383346,#54A24B,false
15,a9d08fba3f83d52e,MF+SF,2,0.02,0.1239432083367995,0.10334905315352183,578875.0684448977,5601164.701383346,#54A24B,false
15,e4f15065e9975e62,MF+SF,2,0.05,0.14998204137609747,0.06744417123916298,377765.9112588535,5601164.701383346,#54A24B,false
15,c81cf943f00a3372,MF+SF,2,0.1,0.19472278254557146,0.04861240633625555,272286.0944199387,5601164.701383346,#54A24B,false
15,a6760b0100b1ffc9,MF+SF,2,0.2,0.28428266736959457,0.0319426661264843,178916.13397573732,5601164.701383346,#54A24B,false
15,0308f3ae65f79480,MF+SF,2,0.35,0.4183505838464493,0.018981770658999406,106320.02378494156,5601164.701383346,#54A24B,false
15,c9d93e5f19d85b38,MF+SF,2,0.5,0.5526031930270556,0.011186307174848685,62656.34888659371,5601164.701383346,#54A24B,false
15,5d7141ec86d67657,SF,2,0.01,0.11578502785329306,0.11659002252640877,653039.9187084099,5601164.701383346,#54A24B,false
15,b2fef391172656c1,SF,2,0.02,0.1239432083367995,0.09036705814134945,506160.776229183,5601164.701383346,#54A24B,false
15,96a6ae5dfa507555,SF,2,0.05,0.14998204137609747,0.06325369395938309,354294.3578374015,5601164.701383346,#54A24B,false
15,7d1bf613519e8cb1,SF,2,0.1,0.19472278254557146,0.047753277908346284,267473.97459557833,5601164.701383346,#54A24B,false
15,528e26e84cee2430,SF,2,0.2,0.28428266736959457,0.03330561382537929,186550.22851661962,5601164.701383346,#54A24B,false
15,d8cc553777aeb66e,SF,2,0.35,0.4183505838464493,0.021318808552389462,119410.15793919325,5601164.701383346,#54A24B,false
15,38266c7b3de97021,SF,2,0.5,0.5526031930270556,0.013915943125634956,77945.48942176474,5601164.701383346,#54A24B,false
